"study","title","latitude","longitude","methods","habitat","native_species","native_family","native_growth_cycle","invasive_species","invasive_family","invasive_growth_cycle","invasion_phase","MAT","MAP","fraction","source","index","units","depth","M_native","SD_native","N_native","M_invasive","SD_invasive","N_invasive","lnRR","depth_raw","depth_top","depth_bot","depth_mid","habitat_class","growth_cycle","sd_imputed","yi_raw","vi","yi","obs"
"R16","Far-reaching effects on soil properties and underground microbial ecosystem after the introduction of black locusts in forest","34.47-34.51","108.05-108.10","field","forest","P.orientalis","Cupressaceae","n/a","Robiniapseudoacacia L.","Fabaceae","n/a","invasive",10.8,605,"SOC","T2","SOC","g/kg","0-20",5.61,0.04,3,10.06,0.12,3,0.584016445,"0-20",0,20,10,"forest",NA,FALSE,0.584016445136988,6.43753692828852e-05,0.584031686595184,59
"R19","Impacts of Spartina alterniflora invasion on soil carbon contents and stability in the Yellow River Delta, China","37.4-37.5","119.1-119.2","field","delta","Phragmitesaustralis","Poaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",NA,NA,"SOC","F2","SOC","g/kg","0-30",3.41865509761388,0.0521,3,7.01084598698481,0.0521,3,0.71769715,"0-30",0,30,15,"wetland_coastal","perennial",FALSE,0.718211149223162,9.5826582842844e-05,0.718181644217119,60
"R19","Impacts of Spartina alterniflora invasion on soil carbon contents and stability in the Yellow River Delta, China","37.4-37.5","119.1-119.2","field","delta","Suaedasalsa","Amaranthaceae","annual","S.alterniflora","Poaceae","perennial","invasive",NA,NA,"SOC","F2","SOC","g/kg","0-30",1.70065075921908,0.03471,3,7.01084598698481,0.0521,3,1.41670945,"0-30",0,30,15,"wetland_coastal","perennial",FALSE,1.41644739929058,0.000157262062513301,1.4163871765447,61
"R19","Impacts of Spartina alterniflora invasion on soil carbon contents and stability in the Yellow River Delta, China","37.4-37.5","119.1-119.2","field","delta","T.chinensi","TaxaceaeGray","n/a","S.alterniflora","Poaceae","perennial","invasive",NA,NA,"SOC","F2","SOC","g/kg","0-30",2.49891540130151,0.0174,3,7.01084598698481,0.0521,3,1.031046969,"0-30",0,30,15,"wetland_coastal","perennial",FALSE,1.03160157838515,3.45695050867627e-05,1.03160270191799,62
"R20","Impacts of Spartina alterniflora invasion on soil carbon contents and stability in the Yellow River Delta, China","24.80","113.36","field","ricefields","Cynodondactylon,Festucaarundicea,Paspalumtatu,andCommelicommunis","herbaceous","n/a","AmbrosiaartemisiifoliaL.","AsteraceaeBercht.&J.Presl","annual","invasive",NA,NA,"SOC","T1","SOC","g/kg","n/a",22.08,0.66,4,26.92,0.67,4,0.198197283,"n/a",NA,NA,NA,"cropland","annual",FALSE,0.198197283367633,0.000378232607350125,0.198163027152404,63
"R20","Impacts of Spartina alterniflora invasion on soil carbon contents and stability in the Yellow River Delta, China","24.80","113.36","field","ricefields","Toxicodendronvernicifluum,Sapiumdiscolor,Lygodiumjaponicum,
Gardeniajasminoides,Pinusmassonia,G.mangosta,U.lobata,
Mallotusapelta,Vitexnegundo,Meliaazedarach,S.bonox,Brous-
sonetiapapyrifera,PaederiascandensandRhuschinensis.","tivespecies","n/a","AmbrosiaartemisiifoliaL.","AsteraceaeBercht.&J.Presl","annual","invasive",NA,NA,"SOC","T1","SOC","g/kg","n/a",21.83,0.54,4,26.92,0.67,4,0.209584334,"n/a",NA,NA,NA,"cropland","annual",FALSE,0.209584334214675,0.000307834945801151,0.209585276830221,64
"R21","Invasion effects of Chromolaena odorata on soil carbon and nitrogen fractions in a tropical savanna","108.470–108.490","19.050–19.170","field","grassland","Hyptissuavedens,Eragrostiszylindrica,Tridaxprocumbens","Grass","n/a","Chromolaeodorata L.","AsteraceaeBercht.&J.Presl","perennial","invasive",24.6,1019,"SOC","F3","SOC","g/kg","0-10",18.3240223463687,1.1173,3,25.2513966480446,2.3836,3,0.320832796,"0-10",0,10,5,"grassland","perennial",FALSE,0.320668571448085,0.00420942551622184,0.321533983442424,65
"R21","Invasion effects of Chromolae odorata on soil carbon and nitrogen fractions in a tropical savan","108.470–108.490","19.050–19.170","field","grassland","Hyptissuavedens,Eragrostiszylindrica,Tridaxprocumbens","Grass","n/a","Chromolaeodorata L.","AsteraceaeBercht.&J.Presl","perennial","invasive",24.6,1019,"SOC","F3","SOC","g/kg","10-20",27.2625698324022,2.6816,3,25.2513966480446,2.3836,3,-0.076594271,"10-20",10,20,15,"grassland","perennial",FALSE,-0.0766332260209183,0.00619515028379459,-0.0767606764103657,66
"R21","Invasion effects of Chromolae odorata on soil carbon and nitrogen fractions in a tropical savan","108.470–108.490","19.050–19.170","field","forest","Crotonlaui,Microcospaniculata,Dimocarpuslongga","Forest","n/a","Chromolaeodorata L.","AsteraceaeBercht.&J.Presl","perennial","invasive",24.6,1019,"SOC","F3","SOC","g/kg","0-10",9.45996275605214,0.8194,3,12.9608938547486,0.6704,3,0.314795308,"0-10",0,10,5,"forest","perennial",FALSE,0.314868212755938,0.00339269326211479,0.314063685387821,67
"R21","Invasion effects of Chromolae odorata on soil carbon and nitrogen fractions in a tropical savan","108.470–108.490","19.050–19.170","field","forest","Crotonlaui,Microcospaniculata,Dimocarpuslongga","Forest","n/a","Chromolaeodorata L.","AsteraceaeBercht.&J.Presl","perennial","invasive",24.6,1019,"SOC","F3","SOC","g/kg","10-20",14.7486033519553,1.2663,3,12.9608938547486,0.6704,3,-0.129375392,"10-20",10,20,15,"forest","perennial",FALSE,-0.129211731480006,0.00334907392238051,-0.129994449178255,68
"R22","Invasion of non-native grasses causes a drop in soil carbon storage in California grasslands"," 37.862","122.524","field","grassland","Agrostishalli","Poaceae","perennial","Avebarbata","Poaceae","annual","invasive",NA,900,"SOC","F1","SOC","kg/m2","0-10",5.46212121212121,0.1944,5,4.71969696969697,0.3005,5,-0.14563999,"0-10",0,10,5,"grassland","annual",FALSE,-0.146092618497496,0.00106409473487678,-0.145813908845489,69
"R22","Invasion of non-native grasses causes a drop in soil carbon storage in California grasslands","37.930999999999997","122.673","field","grassland","Agrostishalli","Poaceae","perennial","Loliummultiflorum","Poaceae","annual","invasive",NA,900,"SOC","F1","SOC","kg/m2","10-20",3.78282828282828,0.1591,5,3.39393939393939,0.1591,5,-0.108894088,"10-20",10,20,15,"grassland","annual",FALSE,-0.10848064299407,0.000793286463490388,-0.108437782876166,70
"R22","Invasion of non-native grasses causes a drop in soil carbon storage in California grasslands"," 37.862","122.524","field","grassland","Agrostishalli","Poaceae","perennial","Brizamaxima L.","Poaceae","annual","invasive",NA,900,"SOC","F1","SOC","kg/m2","20-30",3.12878787878787,0.1237,5,3.04040404040404,0.0884,5,-0.029175489,"20-30",20,30,25,"grassland","annual",FALSE,-0.0286552557603733,0.00048169237547824,-0.0287270298571642,71
"R22","Invasion of non-native grasses causes a drop in soil carbon storage in California grasslands","37.930999999999997","122.673","field","grassland","Agrostishalli","Poaceae","perennial","Vulpiaspp","Poaceae","annual","invasive",NA,900,"SOC","F1","SOC","kg/m2","30-40",2.58080808080808,0.0884,5,2.59848484848484,0.1061,5,0.007722046,"30-40",30,40,35,"grassland","annual",FALSE,0.00682596507039702,0.00056809344053969,0.00687536041430112,72
"R22","Invasion of non-native grasses causes a drop in soil carbon storage in California grasslands","37.930999999999997","122.673","field","grassland","Agrostishalli","Poaceae","perennial","n/a","n/a","n/a","invasive",NA,900,"SOC","F1","SOC","kg/m2","40-50",2.33333333333333,0.1061,5,1.57323232323232,0.2298,5,-0.394792648,"40-50",40,50,45,"grassland",NA,FALSE,-0.394165552854232,0.00468074317782492,-0.392238711428584,73
"R23","Invasion of Praxelis clematidea increases the chemically non-labile rather than labile soil organic carbon in a tropical savanna","19.05-19.17","108.47 - 108.49","field","n/a","Hyptissuavedens,Eragrostiszylindrica,Tridaxprocumbens,Borreriaarticularis,andFimbristylisfusca,aswellasseveralshrubs,suchasSidaalnifoliaandWaltheriaamerica.","n/a","n/a","Praxelisclematidea","AsteraceaeBercht.&J.Presl","annual","invasive",24.6,1019,"SOC","F1","SOC","g/kg","0-10",9.70623742454728,0.3622,3,14.2334004024144,0.5795,3,0.38219613,"0-10",0,10,5,NA,"annual",FALSE,0.382822631358399,0.00101671233793163,0.382866821002512,74
"R23","Invasion of Praxelis clematidea increases the chemically non-labile rather than labile soil organic carbon in a tropical savan","19.05-19.17","108.47 - 108.49","field","forest","Hyptissuavedens,Eragrostiszylindrica,Tridaxprocumbens,Borreriaarticularis,andFimbristylisfusca,aswellasseveralshrubs,suchasSidaalnifoliaandWaltheriaamerica.","n/a","n/a","Praxelisclematidea","AsteraceaeBercht.&J.Presl","annual","invasive",24.6,1019,"SOC","F1","SOC","g/kg","10-20",7.64185110663984,0.3622,3,9.19919517102616,0.9779,3,0.185805881,"10-20",10,20,15,"forest","annual",FALSE,0.18547613354247,0.00451558201298639,0.186985102723734,75
"R25","Methane production potential and methanogenic Methane production potential and methanogenic archaea community dynamics along the Spartina alterniflora invasion chronosequence in a coastal salt marsh","33.36","120.36","field","swamp","Suaedasalsa","Amaranthaceae","annual","S.alterniflora","Poaceae","perennial","invasive",NA,NA,"SOC","T1","SOC","g C kg−1","0-20",2.1,0.18,3,12.37,0.11,3,1.773336842,"0-20",0,20,10,"wetland_coastal","perennial",FALSE,1.77333684167502,0.00247533833608873,1.77212553125123,76
"R27","Plant litter chemistry and microbial priming regulate the accrual, composition and stability of soil carbon in invaded ecosystems","42.24","72.31","field","n/a","n/a","n/a","n/a","Polygonumcuspidatum","Polygoceae","perennial","invasive",NA,NA,"SOC","F2","SOC","mg ha-1","0-5",24.3410852713178,1.8605,6,34.7286821705426,2.3255,6,0.355482779,"0-5",0,5,2.5,NA,"perennial",FALSE,0.355400246506732,0.00172102378970474,0.355287051557151,77
"R27","Plant litter chemistry and microbial priming regulate the accrual, composition and stability of soil carbon in invaded ecosystems","42.24","72.31","field","n/a","n/a","n/a","n/a","Polygonumcuspidatum","Polygoceae","perennial","invasive",NA,NA,"SOC","F2","SOC","mg ha-1","5-10",17.0542635658914,0.9302,6,22.1705426356589,1.7054,6,0.26258982,"5-10",5,10,7.5,NA,"perennial",FALSE,0.262364264467495,0.00148199587024166,0.262609429344157,78
"R27","Plant litter chemistry and microbial priming regulate the accrual, composition and stability of soil carbon in invaded ecosystems","42.24","72.31","field","n/a","n/a","n/a","n/a","Polygonumcuspidatum","Polygoceae","perennial","invasive",NA,NA,"SOC","F2","SOC","mg ha-1","10-15",16.7441860465116,0.6202,6,17.0542635658914,0.7752,6,0.018349139,"10-15",10,15,12.5,NA,"perennial",FALSE,0.0183491386681938,0.000573014963793702,0.0184069893130407,79
"R27","Plant litter chemistry and microbial priming regulate the accrual, composition and stability of soil carbon in invaded ecosystems","34.41","82.53","field","n/a","n/a","n/a","n/a","Puerariamonta","Fabaceae","perennial","invasive",NA,NA,"SOC","F2","SOC","mg ha-1","0-5",47.906976744186,2.3256,6,32.4031007751938,2.6357,6,-0.391165828,"0-5",0,5,2.5,NA,"perennial",FALSE,-0.391007024932933,0.00149548044071514,-0.390652039292046,80
"R27","Plant litter chemistry and microbial priming regulate the accrual, composition and stability of soil carbon in invaded ecosystems","34.41","82.53","field","n/a","n/a","n/a","n/a","Puerariamonta","Fabaceae","perennial","invasive",NA,NA,"SOC","F2","SOC","mg ha-1","5-10",23.4108527131782,0.4651,6,16.5891472868217,1.2403,6,-0.344363177,"5-10",5,10,7.5,NA,"perennial",FALSE,-0.344451002353014,0.000997434820608579,-0.344018066926037,81
"R27","Plant litter chemistry and microbial priming regulate the accrual, composition and stability of soil carbon in invaded ecosystems","34.41","82.53","field","n/a","n/a","n/a","n/a","Puerariamonta","Fabaceae","perennial","invasive",NA,NA,"SOC","F2","SOC","mg ha-1","10-15",12.7131782945736,1.0853,6,11.0077519379844,0,6,-0.143585134,"10-15",10,15,12.5,NA,"perennial",FALSE,-0.144039370222943,0.00121461902722153,-0.144646679736554,82
"R28","Response of the soil microbial community composition and biomass to a short-term Spartina alterniflora invasion in a coastal wetland of eastern China","32.3651-34.2832","119.5125-121.547","field","n/a","Suaedasalsa","Amaranthaceae","annual","S.alterniflora","Poaceae","perennial","invasive",13.8,1000,"SOC","T2","SOC","g/kg","0-30",3.63,0.24,9,0.52,0.03,9,-1.943159116,"0-30",0,30,15,NA,"perennial",FALSE,-1.94315911568342,0.000855520942355595,-1.94321705366939,83
"R28","Response of the soil microbial community composition and biomass to a short-term Spartina alterniflora invasion in a coastal wetland of eastern China","32.3651-34.2832","119.5125-121.547","field","n/a","Phragmitesaustralis","Poaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",13.8,1000,"SOC","T2","SOC","g/kg","0-30",2.92,0.16,9,0.52,0.03,9,-1.725510084,"0-30",0,30,15,NA,"perennial",FALSE,-1.72551008368685,0.000703426872104788,-1.7254919746377,84
"R29","Response of topsoil Fe-bound organic carbon pool and microbial community to Spartina alterniflora invasion in coastal wetlands","n/a","n/a","field","n/a","Kandeliaobovata Sheue&al.","Rhizophoraceae Pers.","n/a","S.alterniflora","Poaceae","perennial","invasive",NA,NA,"SOC","T1","SOC","g/kg","n/a",27.04,0.56,3,20.13,1.95,3,-0.295106012,"n/a",NA,NA,NA,NA,"perennial",FALSE,-0.295106011523063,0.00327092328655079,-0.293613518730085,85
"R29","Response of topsoil Fe-bound organic carbon pool and microbial community to Spartina alterniflora invasion in coastal wetlands","n/a","n/a","field","n/a","Kandeliaobovata Sheue&al.","Rhizophoraceae Pers.","n/a","S.alterniflora","Poaceae","perennial","invasive",NA,NA,"SOC","T1","SOC","g/kg","n/a",20.03,0.99,3,13.91,0.44,3,-0.364623144,"n/a",NA,NA,NA,NA,"perennial",FALSE,-0.364623143742375,0.00114783136210374,-0.364863533313381,86
"R29","Response of topsoil Fe-bound organic carbon pool and microbial community to Spartina alterniflora invasion in coastal wetlands","n/a","n/a","field","n/a","Kandeliaobovata Sheue&al.","Rhizophoraceae Pers.","n/a","S.alterniflora","Poaceae","perennial","invasive",NA,NA,"SOC","T1","SOC","g/kg","n/a",23.86,0.64,3,24.16,0.58,3,0.012494956,"n/a",NA,NA,NA,NA,"perennial",FALSE,0.0124949563968442,0.000431932831135813,0.0124710959561605,87
"R29","Response of topsoil Fe-bound organic carbon pool and microbial community to Spartina alterniflora invasion in coastal wetlands","n/a","n/a","field","n/a","Avicenniamari (Forsk.)Vierh.","Acanthaceae","n/a","S.alterniflora","Poaceae","perennial","invasive",NA,NA,"SOC","T1","SOC","g/kg","n/a",10.06,0.37,3,13.38,0.15,3,0.28519389,"n/a",NA,NA,NA,NA,"perennial",FALSE,0.285193890028489,0.000492799956684221,0.284989383780834,88
"R29","Response of topsoil Fe-bound organic carbon pool and microbial community to Spartina alterniflora invasion in coastal wetlands","n/a","n/a","field","n/a","Avicenniamari (Forsk.)Vierh.","Acanthaceae","n/a","S.alterniflora","Poaceae","perennial","invasive",NA,NA,"SOC","T1","SOC","g/kg","n/a",19.63,0.35,3,20.61,0.35,3,0.048717387,"n/a",NA,NA,NA,NA,"perennial",FALSE,0.048717386613998,0.000202097856947415,0.0487124676651848,89
"R29","Response of topsoil Fe-bound organic carbon pool and microbial community to Spartina alterniflora invasion in coastal wetlands","n/a","n/a","field","n/a","Avicenniamari (Forsk.)Vierh.","Acanthaceae","n/a","S.alterniflora","Poaceae","perennial","invasive",NA,NA,"SOC","T1","SOC","g/kg","n/a",17.87,0.17,3,17.03,0.19,3,-0.048146834,"n/a",NA,NA,NA,NA,"perennial",FALSE,-0.0481468344967398,7.16579403202564e-05,-0.0481411722042587,90
"R29","Response of topsoil Fe-bound organic carbon pool and microbial community to Spartina alterniflora invasion in coastal wetlands","n/a","n/a","field","n/a","Phragmitesaustralis","Poaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",NA,NA,"SOC","T1","SOC","g/kg","n/a",28.86,1.87,3,24.5,2.91,3,-0.163783436,"n/a",NA,NA,NA,NA,"perennial",FALSE,-0.163783435795043,0.00610202901380538,-0.162131909693866,91
"R29","Response of topsoil Fe-bound organic carbon pool and microbial community to Spartina alterniflora invasion in coastal wetlands","n/a","n/a","field","n/a","Phragmitesaustralis","Poaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",NA,NA,"SOC","T1","SOC","g/kg","n/a",20.4,0.16,3,24.15,0.62,3,0.168749479,"n/a",NA,NA,NA,NA,"perennial",FALSE,0.168749479248411,0.000240203819645159,0.168849076224234,92
"R29","Response of topsoil Fe-bound organic carbon pool and microbial community to Spartina alterniflora invasion in coastal wetlands","n/a","n/a","field","n/a","Phragmitesaustralis","Poaceae","perennial","S.alterniflora","Poaceae","perennial","invasive",NA,NA,"SOC","T1","SOC","g/kg","n/a",19.94,0.17,3,19.49,0.17,3,-0.022826251,"n/a",NA,NA,NA,NA,"perennial",FALSE,-0.0228262510142229,4.95886999500112e-05,-0.0228256851504421,93
"R31","Seawall construction alters soil carbon and nitrogen dynamics and soil microbial biomass in an invasive Spartina alterniflora salt marsh in eastern China","32.59-33.03","120.47-120.53","field","n/a","Suaedasalsa","n/a","annual","S.alterniflora","Poaceae","perennial","invasive",14.1,1000,"SOC","F3","SOC","g/kg","0-10",9.61625282167042,0.8669,3,4.8216704288939,0.4334,3,-0.691070337,"0-10",0,10,5,NA,"perennial",FALSE,-0.690334239183331,0.00540213107967186,-0.690342148695235,94
"R31","Seawall construction alters soil carbon and nitrogen dymics and soil microbial biomass in an invasive Spartina alterniflora salt marsh in eastern China","32.59-33.03","120.47-120.53","field","n/a","Suaedasalsa","n/a","annual","S.alterniflora","Poaceae","perennial","invasive",14.1,1000,"SOC","F3","SOC","g/kg","10-20",6.31151241534988,0.5418,3,2.60045146726862,0.0542,3,-0.886624232,"10-20",10,20,15,NA,"perennial",FALSE,-0.886690262097865,0.00260115158166937,-0.887846034137484,95
"R31","Seawall construction alters soil carbon and nitrogen dymics and soil microbial biomass in an invasive Spartina alterniflora salt marsh in eastern China","32.59-33.03","120.47-120.53","field","n/a","Suaedasalsa","n/a","annual","S.alterniflora","Poaceae","perennial","invasive",14.1,1000,"SOC","F3","SOC","g/kg","20-30",5.01128668171557,0.5418,3,1.95033860045146,0.05418,3,-0.943606543,"20-30",20,30,25,NA,"perennial",FALSE,-0.943689706062272,0.00415359153094338,-0.945509262886063,96
"R32","Species choice inmangrove reforestationmay influence the quantity and quality of long-term carbon sequestration and storage","23.45","116.43","field","Mangroveplantations,sandybeaches&mudflats","Kandeliaobovata Sheue&al.","Rhizophoraceae Pers.","n/a","Sonneratiaapetala Buch.-Ham.","Lythraceae","n/a","invasive",NA,NA,"SOC","T1","SOC","g/kg","0-20",43.99,2.82,3,17.8,10.26,3,-0.904763878,"0-20",0,20,10,"wetland_coastal",NA,FALSE,-0.904763878062589,0.112117217839932,-0.85007510660129,97
